# t (s)	mx ()	my ()	mz ()
0	-3.6727186e-05	0.00018600062	0.7112696
2.3827282742231844e-11	0.00020451927	-3.4836903e-05	0.7113609
4.7619695778877444e-11	-0.00010790367	-0.00017899871	0.71156317
7.144769771642315e-11	-0.0001281005	0.000179262	0.71171904
9.523947554016451e-11	0.00023297737	6.1640225e-05	0.71170664
1.1907033428682258e-10	-5.5964494e-05	-0.00024698995	0.7115356
1.4287695885818636e-10	-0.00021920077	0.00015872241	0.7113391
1.666895999729235e-10	0.00025191045	0.00013513117	0.71127015
1.9049386673751972e-10	9.3612204e-07	-0.00031051607	0.7113824
2.1430654257494198e-10	-0.0002784573	0.00013631253	0.71158826
2.381016998172892e-10	0.0002685188	0.00019711512	0.711727
2.619108835088471e-10	4.7281963e-05	-0.00033830866	0.71169084
2.8572095849656626e-10	-0.00031409235	0.00012695132	0.7115076
3.0953077059309965e-10	0.00025660664	0.00023061805	0.71131986
3.3335278971228876e-10	6.321164e-05	-0.00033963093	0.71127415
3.5716247957051647e-10	-0.00031636245	0.00010714209	0.711406
3.809734812248272e-10	0.00022773509	0.00021421592	0.7116125
4.04767812683215e-10	6.993612e-05	-0.00030567357	0.7117325
4.285717355497408e-10	-0.00025715271	8.895939e-05	0.7116728
4.5239134755846454e-10	0.00017672424	0.00016109197	0.7114795
4.762018153175784e-10	5.1728544e-05	-0.00020523598	0.71130335
5.00007536726307e-10	-0.00014914764	7.01799e-05	0.7112815
5.238304158951017e-10	6.637105e-05	5.5352604e-05	0.7114311
5.476261735112636e-10	1.2068173e-05	-3.3236232e-05	0.71163523
5.714470974443832e-10	4.071351e-05	2.373947e-06	0.711735
5.95245908618241e-10	-0.00014070694	-0.00013489615	0.7116526
6.190575710894859e-10	1.6272921e-05	0.00032851545	0.71145207
6.428742966208615e-10	0.00042235485	-0.0002623209	0.7112898
6.66682535170456e-10	-0.0012215612	-0.0010153799	0.7112911
6.90490184639874e-10	-0.0014280308	0.00111225	0.71145797
7.143036129125744e-10	0.0015578163	0.0009971543	0.7116601
7.381000820204452e-10	0.00041697995	-0.001823282	0.71173966
7.619061819769687e-10	-0.001971473	0.00030295103	0.7116349
7.857246317862667e-10	0.0011347593	0.0017292885	0.7114275
8.09543282231717e-10	0.0011438163	-0.0017834695	0.71127933
